Sub_Category,Total_Sales,Num_Orders,Avg_Order_Value,Days_Active,Growth_Rate,Sales_Volatility,Cluster,Cluster_Label
Accessories,164186.7,756,217.17817460317465,505,145.05596052510444,2579.99480907113,1,"Moderate, Stable Products"
Appliances,104618.403,459,227.92680392156865,363,165.24291235604653,1821.6215390281989,1,"Moderate, Stable Products"
Art,26705.41,785,34.019630573248406,522,49.649531482141526,330.4883427284576,1,"Moderate, Stable Products"
Binders,200028.785,1492,134.0675502680965,772,65.77863849255769,3848.2236478754903,2,Declining Demand
Bookcases,113813.1987,226,503.5982243362832,199,49.846597821187686,2220.4050797251757,1,"Moderate, Stable Products"
Chairs,322822.731,607,531.8331647446457,411,20.954677464656378,4407.232959811409,2,Declining Demand
Copiers,146248.094,66,2215.8802121212125,65,479.7295097726388,5500.774390527093,0,Growing Demand
Envelopes,16128.046,248,65.03244354838709,214,-12.121344538689424,228.21868781596007,1,"Moderate, Stable Products"
Fasteners,3001.96,214,14.02785046728972,193,30.46836377840301,48.74222863268981,1,"Moderate, Stable Products"
Furnishings,89212.018,931,95.82386466165411,588,106.82496850843724,1360.0178672616055,1,"Moderate, Stable Products"
Labels,12347.726,357,34.587467787114846,286,36.07337288326352,223.47121839221344,1,"Moderate, Stable Products"
Machines,189238.631,115,1645.5533130434785,104,-29.793120087164557,5603.554746739796,2,Declining Demand
Paper,76828.304,1338,57.42025710014948,721,91.90197088871184,1024.8249818349852,1,"Moderate, Stable Products"
Phones,327782.448,876,374.1808767123287,566,35.55760708226129,4052.718220520821,2,Declining Demand
Storage,219343.392,832,263.6338846153846,552,38.36610808437808,2822.0843101166624,2,Declining Demand
Supplies,46420.308,184,252.28428260869563,166,11.276038287845251,2025.0941389159009,1,"Moderate, Stable Products"
Tables,202810.628,314,645.8937197452229,253,33.078016081528446,3224.082504460717,2,Declining Demand
